id	name	alias
016e4cd7-8ff0-4d83-83db-3594490e4919	TZANEEN - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitTzaneen
06889faa-fc18-41f3-a186-6396fa7defca	BURGERSFORT - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitBurgersfort
1	Legend Denver Branch	Legend Systems
1363d96e-86e1-467a-ad6b-3b0cda255223	NELSPRUIT - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	Bitnelspruit
193867ca-53a2-476c-81ef-44ffb68ab0f1	LOUIS TRICHARDT - BRADERIENSE INTERNATIONAL TRADING (PTY) LTD	BitLouisTrichardt
2	Denver - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	
269ee44d-2767-474c-a48c-383bff7d0427	BIT BOTSWANA PTY LTD T/A BIT GROUP BOTSWANA GABARONE	BitGaborone
28f70e60-604b-4c51-8760-357800bcccdf	BETHLEHEM - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitBethlehem
30c19866-7ef5-4dcc-89f3-33f265146d31	BRONKHORSTSPRUIT - BRADERIENSE INTERNATIONAL TRADING (PTY) LTD	BitBronkhortspruit
389c605a-a071-4f72-8fe1-7d7d2cbf0944	LANSERIA - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitLanseria
3d106cc4-eee7-48eb-a625-a9338afb9879	MIDRAND - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitMidrand
48ce30a1-7991-4b0b-b538-569c128a9d6e	MOKOPANE - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitMokopane
54391e47-c7ef-47d0-8f4d-8e45f20bf3d0	BOKSBURG - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitBoksburg
5d0aaf7c-325b-406c-8b5b-b6403a406b0f	GIPTEC MOZAMBIQUE ZIMPETO	GIPTEC Zimpeto
5de01bbf-d469-4b7b-b325-02cf2b986004	SOUTHGATE - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitSouthGate
66395da2-3cc9-4e4d-8e02-53707d54702d	GIPTEC MOZAMBIQUE MAPUTO	GIPTEC Maputo
678729c8-c56a-4844-898b-8f2ee0c509d9	RICHARDS BAY - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitRichards Bay
68b3ac03-6906-4466-97fa-9c9c92ff0957	BitWitbank	BitWitbank
87d7fd91-9550-4ec7-873b-2139c5f95f31	BIT ZAM IMPORTS LIMITED	BitLusaka
9299084b-1777-4214-9af3-3d5158e91e7e	RUSTENBURG - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitRustenburg
95d71f0e-d267-4aab-87ca-6307df887e4c	PORT ELIZABETH - BRADERIENSE INTERNATIONAL TRADING (PTY) LTD	BitPE
a2ad8f4a-9ed2-4048-b531-89da6883f9e0	BITGROUP ZIMBABWE (PRIVATE) LIMITED	BitHarare
a737ebc9-2d08-47c6-892a-ffa2c2989ea0	Francistown	BitFrancistown
b12e38da-4e84-4cc7-bcb8-9b36695aeb04	MAFIKENG - BRADERIENSE INTERNATIONAL TRADING (PTY) LTD	BitMafikeng
b29610c2-0a79-4c3f-945e-31f6f1ee022e	POLOKWANE - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitPolokwane
b298e2b0-c8f6-427d-88a3-a047aea7da4c	RANDFONTEIN - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitRandfontein
e951e09e-4516-4a3c-a04b-a03ef3d9023e	GEORGE - BRADERIENSE INTERNATIONAL TRADING (PTY) LTD	BitGeorge
ea19d17f-8d4f-4ed2-8181-8fa7a8f73c08	EMALAHLENI - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitEmalahleni
f303a941-0723-4f55-96f1-47dd52c26494	ROBERTSVILLE - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitRobertsville
fd80a488-e831-4229-8cfe-5c344494c606	GIPTEC MOZAMBIQUE MATOLA	GIPTEC Matola
fedb3796-a73f-4549-bf01-36fea1cfaa53	GIYANI - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitGiyani
ff76f348-5685-4dc8-8061-68a6e06552f5	GIPTEC MOZAMBIQUE XAI XAI	GIPTEC Xai Xai
ff87c43a-42f9-4781-b472-204ba80a6bfd	THOHOYANDOU - BRADEIRENSE INTERNATIONAL TRADING (PTY) LTD	BitThohoyandou
